Var1,Var2,Freq,value,min_species_for_fit,order,frac,data_type,tag
H._squamatum,A,-2.2774063191059866,-2.2774063191059866,1,3,-1,natural,2025-01-17 23:10:373
H._syriacum,A,-3.278292580278732,-3.278292580278732,1,3,-1,natural,2025-01-17 23:10:373
T._zygis,A,-3.4749424807768996,-3.4749424807768996,1,3,-1,natural,2025-01-17 23:10:373
U._sp,A,-4.575345349798525,-4.575345349798525,1,3,-1,natural,2025-01-17 23:10:373
L._subulatum,A,-4.581675623930824,-4.581675623930824,1,3,-1,natural,2025-01-17 23:10:373
O._tridentata,A,-6.24425931637601,-6.24425931637601,1,3,-1,natural,2025-01-17 23:10:373
P._albicans,A,-6.030482393627514,-6.030482393627514,1,3,-1,natural,2025-01-17 23:10:373
S._tenacissima,A,-5.969451026114444,-5.969451026114444,1,3,-1,natural,2025-01-17 23:10:373
Other_species,A,-3.3225163765584753,-3.3225163765584753,1,3,-1,natural,2025-01-17 23:10:373
H._squamatum,A,-3.051248626554078,-3.051248626554078,1,3,-1,restoration,2025-01-17 23:10:273
H._syriacum,A,-2.046506832961296,-2.046506832961296,1,3,-1,restoration,2025-01-17 23:10:273
T._zygis,A,-0.709018910693905,-0.709018910693905,1,3,-1,restoration,2025-01-17 23:10:273
U._sp,A,-3.836606959224249,-3.836606959224249,1,3,-1,restoration,2025-01-17 23:10:273
L._subulatum,A,-3.1810488854957897,-3.1810488854957897,1,3,-1,restoration,2025-01-17 23:10:273
O._tridentata,A,-4.706719626124331,-4.706719626124331,1,3,-1,restoration,2025-01-17 23:10:273
P._albicans,A,-3.748669495445833,-3.748669495445833,1,3,-1,restoration,2025-01-17 23:10:273
S._tenacissima,A,-4.887805485682446,-4.887805485682446,1,3,-1,restoration,2025-01-17 23:10:273
Other_species,A,-2.44000782694416,-2.44000782694416,1,3,-1,restoration,2025-01-17 23:10:273
H._squamatum,A,-2.5926615165141493,-2.5926615165141493,1,3,-1,natural,2025-01-17 23:10:273
H._syriacum,A,-3.371544363020438,-3.371544363020438,1,3,-1,natural,2025-01-17 23:10:273
T._zygis,A,-3.8055630251195924,-3.8055630251195924,1,3,-1,natural,2025-01-17 23:10:273
U._sp,A,-4.3120259537994885,-4.3120259537994885,1,3,-1,natural,2025-01-17 23:10:273
L._subulatum,A,-4.5854161303403584,-4.5854161303403584,1,3,-1,natural,2025-01-17 23:10:273
O._tridentata,A,-5.479726127282753,-5.479726127282753,1,3,-1,natural,2025-01-17 23:10:273
P._albicans,A,-6.765068366190343,-6.765068366190343,1,3,-1,natural,2025-01-17 23:10:273
S._tenacissima,A,-5.759056737918889,-5.759056737918889,1,3,-1,natural,2025-01-17 23:10:273
Other_species,A,-3.466748015324156,-3.466748015324156,1,3,-1,natural,2025-01-17 23:10:273
H._squamatum,A,-3.649090496041009,-3.649090496041009,1,3,-1,restoration,2025-01-17 23:10:173
