n_unique,x2_counts,pearson,kendall,Gstat_shrink,Gstat_obs,Chisq,min_species_for_comp,order,frac,min_species_for_fit,n_sites,n_gibbs,data_type,extra_tag
127,315.629644998612,0.9699364986687116,0.7206785754410967,312.6811491079176,323.94014598143144,335.58880978796844,1,2,-1,1,1000000,200,natural,2025-01-14 18:33:233
126,216.67752846086893,0.9745949912650396,0.7319515735414208,220.1548881628399,229.69310472037864,279.4023622399894,1,3,-1,1,1000000,200,natural,2025-01-14 18:33:233
127,307.59216758186744,0.9674796568385194,0.7165436895439347,300.27595550117155,311.6371491262334,293.3582355770534,1,2,-1,1,1000000,200,natural,2025-01-14 18:08:373
126,222.46179760663875,0.969354358393202,0.7525904655196664,217.87301836011272,229.28636916698025,235.41432014417913,1,3,-1,1,1000000,200,natural,2025-01-14 18:08:373
127,280.8494676857021,0.9710753152368076,0.7316316083087523,277.7463938874713,288.28280725657515,302.8364435921325,1,2,-1,1,1000000,200,natural,2025-01-14 17:44:023
127,178.9861587822856,0.990862669067477,0.7283012715292682,173.5969288837798,183.64869574255783,178.9631854500112,1,3,-1,1,1000000,200,natural,2025-01-14 17:44:023
127,284.1226337024881,0.973114527452129,0.7306700708102597,274.59343041856107,288.7606431073349,269.46045216888825,1,2,-1,1,1000000,200,natural,2025-01-14 17:19:223
127,193.8896498809683,0.9762452928544756,0.774242943021127,182.7288571781851,196.80581666915677,170.20468746987876,1,3,-1,1,1000000,200,natural,2025-01-14 17:19:223
127,398.8616463308173,0.9598055582328556,0.6952690751150185,406.3406776763197,417.32023634383233,485.47334514885085,1,2,-1,1,1000000,200,natural,2025-01-14 16:54:483
127,259.22163551820154,0.968950170430252,0.7381691608788646,264.10988830637564,275.35479165974317,302.15855966795806,1,3,-1,1,1000000,200,natural,2025-01-14 16:54:483
127,302.1755573990077,0.9713198388325458,0.7142526732210089,295.865510731439,306.62727285761207,317.12131651217584,1,2,-1,1,1000000,200,natural,2025-01-14 16:30:133
127,267.43631487059747,0.9491958609475604,0.7435094915490574,256.2614145321221,267.448129857968,251.1212365167226,1,3,-1,1,1000000,200,natural,2025-01-14 16:30:133
127,330.3209056613318,0.9680238588746816,0.7226257501256877,326.2038414980044,338.2671611329235,334.860461537831,1,2,-1,1,1000000,200,natural,2025-01-14 16:05:463
