Var1,Var2,Freq,value,min_species_for_fit,order,frac,data_type,tag
T._zygis,A,-1.3507622895860276,-1.3507622895860276,1,3,-1,restoration,2025-01-17 19:37:013
U._sp,A,-4.569450881072907,-4.569450881072907,1,3,-1,restoration,2025-01-17 19:37:013
L._subulatum,A,-3.6473155103193227,-3.6473155103193227,1,3,-1,restoration,2025-01-17 19:37:013
O._tridentata,A,-5.037526337972256,-5.037526337972256,1,3,-1,restoration,2025-01-17 19:37:013
P._albicans,A,-3.8594509762381675,-3.8594509762381675,1,3,-1,restoration,2025-01-17 19:37:013
Other_species,A,-2.9691352595313387,-2.9691352595313387,1,3,-1,restoration,2025-01-17 19:37:013
H._squamatum,A,-2.701603231520098,-2.701603231520098,1,3,-1,natural,2025-01-17 19:37:013
H._syriacum,A,-3.468633098051453,-3.468633098051453,1,3,-1,natural,2025-01-17 19:37:013
T._zygis,A,-3.9864133390474525,-3.9864133390474525,1,3,-1,natural,2025-01-17 19:37:013
U._sp,A,-4.685527303745298,-4.685527303745298,1,3,-1,natural,2025-01-17 19:37:013
L._subulatum,A,-4.338909709878928,-4.338909709878928,1,3,-1,natural,2025-01-17 19:37:013
O._tridentata,A,-5.808576878009475,-5.808576878009475,1,3,-1,natural,2025-01-17 19:37:013
P._albicans,A,-6.392991478574574,-6.392991478574574,1,3,-1,natural,2025-01-17 19:37:013
Other_species,A,-3.3477198302519438,-3.3477198302519438,1,3,-1,natural,2025-01-17 19:37:013
H._squamatum,A,-3.4220586322482727,-3.4220586322482727,1,3,-1,restoration,2025-01-17 19:36:543
H._syriacum,A,-2.5630269703441035,-2.5630269703441035,1,3,-1,restoration,2025-01-17 19:36:543
T._zygis,A,-1.5022796347600944,-1.5022796347600944,1,3,-1,restoration,2025-01-17 19:36:543
U._sp,A,-4.4912283123413115,-4.4912283123413115,1,3,-1,restoration,2025-01-17 19:36:543
L._subulatum,A,-3.846254471873721,-3.846254471873721,1,3,-1,restoration,2025-01-17 19:36:543
O._tridentata,A,-4.820454204063009,-4.820454204063009,1,3,-1,restoration,2025-01-17 19:36:543
P._albicans,A,-4.5292249953372155,-4.5292249953372155,1,3,-1,restoration,2025-01-17 19:36:543
Other_species,A,-3.0021875008262313,-3.0021875008262313,1,3,-1,restoration,2025-01-17 19:36:543
H._squamatum,A,-2.768582960767623,-2.768582960767623,1,3,-1,natural,2025-01-17 19:36:543
H._syriacum,A,-3.6482382359748606,-3.6482382359748606,1,3,-1,natural,2025-01-17 19:36:543
T._zygis,A,-3.5798894294072134,-3.5798894294072134,1,3,-1,natural,2025-01-17 19:36:543
U._sp,A,-4.798723806075462,-4.798723806075462,1,3,-1,natural,2025-01-17 19:36:543
L._subulatum,A,-4.421078126843857,-4.421078126843857,1,3,-1,natural,2025-01-17 19:36:543
O._tridentata,A,-5.707165458736352,-5.707165458736352,1,3,-1,natural,2025-01-17 19:36:543
P._albicans,A,-6.575074609494033,-6.575074609494033,1,3,-1,natural,2025-01-17 19:36:543
Other_species,A,-3.738692359901233,-3.738692359901233,1,3,-1,natural,2025-01-17 19:36:543
H._squamatum,A,-3.339453391356216,-3.339453391356216,1,3,-1,restoration,2025-01-17 19:36:473
H._syriacum,A,-2.2659401795095158,-2.2659401795095158,1,3,-1,restoration,2025-01-17 19:36:473
T._zygis,A,-0.978319464191777,-0.978319464191777,1,3,-1,restoration,2025-01-17 19:36:473
U._sp,A,-4.01966476460802,-4.01966476460802,1,3,-1,restoration,2025-01-17 19:36:473
L._subulatum,A,-3.120198510924553,-3.120198510924553,1,3,-1,restoration,2025-01-17 19:36:473
O._tridentata,A,-3.5602837007995936,-3.5602837007995936,1,3,-1,restoration,2025-01-17 19:36:473
P._albicans,A,-4.078163574874809,-4.078163574874809,1,3,-1,restoration,2025-01-17 19:36:473
Other_species,A,-2.635865174036581,-2.635865174036581,1,3,-1,restoration,2025-01-17 19:36:473
H._squamatum,A,-2.906884459038547,-2.906884459038547,1,3,-1,natural,2025-01-17 19:36:473
H._syriacum,A,-3.4327363127069987,-3.4327363127069987,1,3,-1,natural,2025-01-17 19:36:473
T._zygis,A,-3.462537476422039,-3.462537476422039,1,3,-1,natural,2025-01-17 19:36:473
U._sp,A,-4.549011903201685,-4.549011903201685,1,3,-1,natural,2025-01-17 19:36:473
L._subulatum,A,-5.311928397697368,-5.311928397697368,1,3,-1,natural,2025-01-17 19:36:473
O._tridentata,A,-6.322980248500321,-6.322980248500321,1,3,-1,natural,2025-01-17 19:36:473
