n_unique,x2_counts,pearson,kendall,Gstat_shrink,Gstat_obs,Chisq,min_species_for_comp,order,frac,min_species_for_fit,n_sites,n_gibbs,data_type,extra_tag
110,83.00645182244601,0.9758222013068949,0.7512910314694934,119.59774118013746,98.1975724359243,617.2600944042598,1,2,-1,1,1000000,200,natural,2025-01-28 03:26:013
112,103.95300236147457,0.9573632826973894,0.7272265032573305,151.23702183158105,129.10960532635465,1028.2322309821602,1,3,-1,1,1000000,200,natural,2025-01-28 03:26:013
127,311.12290512642164,0.8474512042991665,0.5786957915799741,319.90670346190825,353.10755485506286,488.0198653859627,1,1,-1,1,1000000,200,natural,2025-01-28 02:54:283
112,93.77156350172933,0.9514177472070986,0.7308510660205582,126.91138039818273,107.07426331016345,624.404807596753,1,2,-1,1,1000000,200,natural,2025-01-28 02:54:283
112,100.36886783738221,0.971313549934483,0.7135485150910619,132.52382504411085,119.32637907689275,740.9548044285505,1,3,-1,1,1000000,200,natural,2025-01-28 02:54:283
127,311.63658661498357,0.8392827638336801,0.598592825760701,319.7339854384999,357.21469930243586,467.970182206177,1,1,-1,1,1000000,200,natural,2025-01-28 02:23:013
114,86.1968044088361,0.9702504372674835,0.7413456145480171,103.75885325602685,90.67110403385855,515.1528359533063,1,2,-1,1,1000000,200,natural,2025-01-28 02:23:013
112,109.31174622158532,0.949452344341245,0.7317581023489647,111.226813076665,111.97989321820613,285.61368465452773,1,3,-1,1,1000000,200,natural,2025-01-28 02:23:013
127,301.63832185914276,0.8504966168954308,0.5928589087718327,323.2221348571116,347.9261824010046,496.53734706049727,1,1,-1,1,1000000,200,natural,2025-01-28 01:51:403
110,114.56302163685868,0.93528845360838,0.752507127965291,156.92256514778379,128.43888585981603,658.3177063586057,1,2,-1,1,1000000,200,natural,2025-01-28 01:51:403
117,133.97995688777482,0.9348339734846638,0.7154808217145665,184.67842812159182,153.97643272425267,964.4727464758023,1,3,-1,1,1000000,200,natural,2025-01-28 01:51:403
127,326.04910275323834,0.8109925331554496,0.5748598608995775,366.22471111115107,396.35150175048454,730.8658795119451,1,1,-1,1,1000000,200,natural,2025-01-28 01:20:143
111,78.58400196393544,0.9761827680738814,0.7318110269473146,122.27159126760839,97.42766556443132,606.7275314196029,1,2,-1,1,1000000,200,natural,2025-01-28 01:20:143
114,125.43877685046658,0.9413995468958825,0.6968152297534066,173.19042260727556,152.1541174122486,741.8817245845352,1,3,-1,1,1000000,200,natural,2025-01-28 01:20:143
127,335.36376752680746,0.8160731559582792,0.5621169189746457,363.95488983815545,394.3736412900995,726.6668877135435,1,1,-1,1,1000000,200,natural,2025-01-28 00:49:133
111,106.72198409751323,0.9656992842105689,0.7110674570239149,148.32017900882246,128.96571650562257,690.6332393735246,1,2,-1,1,1000000,200,natural,2025-01-28 00:49:133
109,121.6031968874142,0.9593614177547981,0.6767866289240457,179.40958038400592,163.78350615412512,1262.307780157897,1,3,-1,1,1000000,200,natural,2025-01-28 00:49:133
127,283.27589634182874,0.8571525804539545,0.622221589440823,289.2321354020818,323.1013039850435,402.7284692928169,1,1,-1,1,1000000,200,natural,2025-01-28 00:16:273
